City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Aitape,PG,-3.1374,142.3475,78.37,83,29,1.83,scattered clouds
299,Moerai,PF,-22.4333,-151.3333,72.41,66,1,15.35,clear sky
300,Mana,GF,5.6592,-53.7767,85.17,67,48,10.83,scattered clouds
301,Esil,KZ,51.9556,66.4042,53.44,52,28,12.68,scattered clouds
302,Ambilobe,MG,-13.2,49.05,79.38,50,89,5.28,overcast clouds
303,Callaway,US,30.153,-85.5699,80.53,83,75,9.22,broken clouds
304,Kailua,US,21.4022,-157.7394,80.01,77,0,11.5,clear sky
305,San Patricio,US,28.017,-97.5169,80.46,85,100,4.92,overcast clouds
306,Ginir,ET,7.1333,40.7,69.93,57,77,9.28,light rain
307,Raga,SS,8.4596,25.678,84.58,68,72,1.23,light rain
308,Voh,NC,-20.9667,164.7,67.32,83,100,4.56,overcast clouds
309,Asosa,ET,10.0667,34.5333,68.56,91,96,3.6,light rain
310,Aswan,EG,24.0934,32.907,101.93,13,0,16.2,clear sky
311,Mehamn,NO,71.0357,27.8492,46.35,71,100,10.36,overcast clouds
312,Juba,SS,4.8517,31.5825,85.53,55,85,1.72,overcast clouds
313,Sioux Lookout,CA,50.1001,-91.917,53.67,94,20,0.0,few clouds
314,Garoua,CM,9.3,13.4,90.0,58,75,8.05,broken clouds
315,Narsaq,GL,60.9167,-46.05,46.62,81,80,0.98,broken clouds
316,Muros,ES,42.7762,-9.0603,71.1,74,58,12.62,broken clouds
317,Alice Springs,AU,-23.7,133.8833,65.75,34,0,10.36,clear sky
318,Puerto Escondido,MX,15.85,-97.0667,76.03,73,100,8.05,overcast clouds
319,Miraflores,MX,19.2167,-98.8083,58.03,86,96,1.97,overcast clouds
320,Palana,RU,59.1167,159.9667,48.15,62,100,8.3,overcast clouds
321,Port Lincoln,AU,-34.7333,135.8667,52.59,91,28,14.81,light rain
322,Port-Cartier,CA,50.0334,-66.8654,63.75,62,38,3.96,scattered clouds
323,Waw,SS,7.7029,27.9953,86.52,56,87,1.99,overcast clouds
324,Avera,US,33.194,-82.5271,74.71,66,98,7.09,overcast clouds
325,Ostrovnoy,RU,68.0531,39.5131,44.29,76,100,18.45,light rain
326,Armidale,AU,-30.5167,151.65,40.91,97,34,4.97,scattered clouds
327,Maarianhamina,AX,60.0973,19.9348,57.06,51,0,12.66,clear sky
328,Bengkulu,ID,-3.8004,102.2655,76.05,84,97,3.98,overcast clouds
329,Nizwa,OM,22.9333,57.5333,94.87,30,43,15.41,scattered clouds
330,Moose Factory,CA,51.2585,-80.6094,59.0,77,100,8.05,overcast clouds
331,Basco,PH,20.4487,121.9702,83.66,83,79,16.53,broken clouds
332,Ponta Delgada,PT,37.7333,-25.6667,77.72,88,75,10.36,broken clouds
333,Aguimes,ES,27.9054,-15.4461,79.43,52,20,32.01,few clouds
334,Shingu,JP,33.7333,135.9833,77.52,92,97,4.09,overcast clouds
