City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Itacare,BR,72.0,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
521,Wiang Sa,TH,76.03,light rain,8.6359,99.3666,ชำนาญอินน์
522,Banda Aceh,ID,82.45,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
523,Coacoatzintla,MX,66.54,overcast clouds,19.6333,-96.9333,Hotel Eiffel
524,Cockburn Town,TC,82.18,clear sky,21.4612,-71.1419,Osprey Beach Hotel
528,Kambove,CD,85.21,clear sky,-10.8764,26.5969,Pat. Mukendi
531,Praia,CV,84.74,broken clouds,14.9215,-23.5087,LT Aparthotel
532,Porto Franco,BR,96.51,overcast clouds,-6.3383,-47.3992,Saint Louis Hotel
533,Roald,NO,73.17,clear sky,62.5833,6.1333,Flem Cabins
534,Urumqi,CN,86.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
535,Beihai,CN,83.86,overcast clouds,21.4833,109.1,21 Degree Hostel
536,Waingapu,ID,77.0,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
540,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
541,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
544,Barcelos,PT,72.91,overcast clouds,41.5388,-8.6151,Hotel Do Terço
545,Ambulu,ID,75.25,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
